id,type,title,description,status,severity,component,date_started,date_completed,reported_by,related_ids,notes
1,issue,WBS Renumbering Inconsistent,"Renumbering behaves differently in admin UI vs CLI; drag of root nodes triggers MPPT InvalidMove.",Closed,Medium,Admin UI,,,Bruce,,FIXED: Admin action now uses tree_id/lft ordering matching CLI behavior.
2,task,Collapse/Expand Gantt Rows,Add client-side JS to support hierarchical hide/show of descendant rows.,Completed,,Gantt,2025-12-05T14:10,2025-12-05T14:35,Bruce,,Working as designed.
3,task,Gantt Highlight Dependencies,Add hover highlight so predecessor/successor tasks visually respond.,Completed,,Gantt,2025-12-05T15:00,2025-12-05T15:22,Bruce,,Hover logic fixed and stable.
4,task,Sample Dependencies Import,Import example dependency links and validate import pipeline.,Completed,,Dependencies,2025-12-05T15:40,2025-12-05T15:55,Bruce,,CSV import tool validated.
5,task,Percent Complete Bar Overlay,Add inner bar to visualize % complete on Gantt bars.,Completed,,Gantt,2025-12-05T16:10,2025-12-05T16:32,Bruce,,Looks correct; styling integrated.
6,task,Fix Missing Collapse/Expand Buttons,Restore removed UI behavior after Gantt timeline changes.,Completed,,Gantt,2025-12-05T16:33,2025-12-05T16:38,Bruce,,Buttons restored and stable.
7,task,Implement update_rollup_dates,Add model-level rollup date aggregation for parents.,Completed,,Scheduling,2025-12-05T17:20,2025-12-05T17:45,Bruce,,update_rollup_dates now implemented and called from rollup_wbs_dates.
8,task,Fix rollup_wbs_dates Command,Repair CLI rollup function and integrate with new API.,Completed,,Scheduling,2025-12-05T17:45,2025-12-05T18:05,Bruce,7,Command now fully operational.
9,task,Add Admin Action: Rollup WBS Dates,Expose rollup action in Admin UI for convenience.,Completed,,Admin UI,2025-12-05T18:05,2025-12-05T18:14,Bruce,8,Admin tested and functional.
10,task,Rename Admin Branding to House Project Admin,Change admin header/title from House WBS Admin to House Project Admin.,Completed,,Admin UI,2025-12-05T18:20,2025-12-05T18:30,Bruce,,Branding updated; nav link preserved.
11,task,Add Project Item System,Introduce unified ProjectItem model linked to WBS items.,Completed,,Project Items,2025-12-05T18:30,2025-12-05T18:38,Bruce,,Models+admin wired; tables migrated.
12,task,Add Project Item counts to WBS items,Show counts of linked Project Items per WBS node in admin lists.,Completed,,Admin UI,2025-12-05T18:40,2025-12-05T18:50,Bruce,,Counts visible in WBS changelist.
13,task,Inline Project Items in WBS Admin,Show and edit linked Project Items directly within a WBS item page.,Completed,,Admin UI,2025-12-05T18:50,2025-12-05T19:00,Bruce,,Tabular inline works; change links enabled.
14,task,Gantt Filters for Items with Issues/Tasks,Add controls to highlight or filter WBS tasks that have linked Project Items.,Completed,,Gantt,2025-12-05T21:40,2025-12-05T21:55,Bruce,,Filter UI added: mode/items-only/checkboxes.
15,task,Project Item Board & List Views,Provide Kanban and list views grouped by WBS status and priority.,Completed,,Project Items,2025-12-05T21:15,2025-12-06T00:30,Bruce,,Kanban + drag-drop complete. List view with filtering/search complete.
16,task,Gantt: Click Task Show Project Items,When clicking a WBS row in Gantt open a side panel showing linked Project Items.,Completed,,Gantt / Project Items,2025-12-05T19:20,2025-12-05T19:40,Bruce,,Side panel + encoding fix in place.
17,issue,Percent Complete Bars Not Working,Percent-complete overlay on Gantt bars is not rendering / not reflecting WbsItem.percent_complete.,Closed,Medium,Gantt / Progress,2025-12-05T20:18,2025-12-05T20:25,Bruce,5,Bug fixed: markup + CSS + rollup now consistent.
18,task,Refactor Gantt Assets,Move inline Gantt CSS and JS into static files gantt.css and gantt.js.,Completed,,Gantt,2025-12-05T20:20,2025-12-05T20:30,Bruce,,Static assets wired; behavior matches previous inline version.
19,task,Admin Text Cleanup,Update admin labels to House Project WBS Items and Project Items.,Completed,,Admin UI,2025-12-05T20:30,2025-12-05T20:40,Bruce,,Model verbose_names + AppConfig label updated.
20,issue,App Module Name wbs Unclear,Django app is still named wbs which no longer matches House Project branding.,Closed,Low,Architecture,2025-12-05T20:40,2025-12-06T00:45,Bruce,,DECISION: Keep as wbs (internal). Documented in ARCHITECTURE_DECISION_RECORD.md.
